Sentence,Score,Sentiment
RT Unbelievable day yesterday We finally tagged 2 female white sharks immature amp 10ft long is named after Captai,-1,negative
RT Finally a big mature female At 15ft long is the second biggest white shark we ve ever tagged in the North At,1,Positive
RT Nova Scotia s hitting its autumnal stride right now and we would love to showcase some of this province s fall beauty Reply,4,Positive
RT Our Oyster Stout is available at 60 NSLC across Nova Scotia Get yours now NSCraftBeer SoberIslandBrew OysterSto,0,neutral
RT Do you have someone on your Christmas list that is missing Nova Scotia We ve got beautiful NS Coasters made by our Trai,1,Positive
RT Our Oyster Stout is available at 60 NSLC across Nova Scotia Get yours now NSCraftBeer SoberIslandBrew OysterSto,0,neutral
RT ca It s Citizenship Week To celebrate we are highlighting newcomers to Nova Scotia who recently received their citizenship Up,0,neutral
RT Finally a big mature female At 15ft long is the second biggest white shark we ve ever tagged in the North At,1,Positive
RT On Wed October 17th at 7 30pm join Dr Sara Spike at the as she explores the past of the hundreds of islands alon,0,neutral
RT Adam Saint John refinery explosion was heard cross the Bay of Fundy in Nova Scotia according to Pic,0,neutral
RT NS government fails to give parents same protected leave as other provinces used Majority to vote down,-1,negative
A great hiking group today from cruises We ve been taking lovely German guests from Aida for 7 years now an,2,negative
RT Province urged to give municipalities power to post speed limits under 50km h CBC News nspoli,0,neutral
RT Beyond honoured to be named a recipient to the Order of Nova Scotia alongside these incredible Nova Scotians Congratulati,1,Positive
RT So now African American men better not be caught with white kids in his car This Trumpism BS is really getting tired This,1,Positive
Great job NYT So Donny after reading this entire NYT article I m thinking the ONLY way to clear your once pro,2,Positive
RT So now African American men better not be caught with white kids in his car This Trumpism BS is really getting tired This,1,Positive
RT realDonaldTrump It is amazing that the president of US not Rundheera Republic detesting publicly the right decision t,2,Positive
Taylorswift realDonaldTrump VoteRed MarshaBlackburn mega narcisist can t tolerate the negative attention her,-1,negative
A man who can do no wrong is a man who can do no right realDonaldTrump,0,neutral
RT WeThePeople are now the News Tune in LIVE to our 24 7 LiveStream gt MSM Qanon RealNews Tr,1,Positive
Who does not understand a look also include a long explanation techsytalk,0,neutral
RT GoT gameofthrones georgerrmartin,0,neutral
RT T rodead de spoilers y teor as acerca de GameOfThrones Vuelve a vivir la 5 temporada de GOT en CinemaxLA Horar,0,neutral
RT T rodead de spoilers y teor as acerca de GameOfThrones Vuelve a vivir la 5 temporada de GOT en CinemaxLA Horar,0,neutral
Imma name my kids Daenerys Drogon Aria and Oberyn GoT,0,neutral
RT Come see GameofThrones Season 6 Episode 4 Book of the Stranger REACTION GoT,0,neutral
RT If can do it so can you but listen to them do it first Thanks in advance GOT BSPN,0,neutral
If can do it so can you but listen to them do it first Thanks in advance GOT BSPN,0,neutral
RT Filming on GameofThrones is over but Northern Ireland isn t quite ready to let go of the show that did so much for its film i,1,Positive
RT english Twin Day was a success got your back grammarpolice tdhs,1,Positive
RT T rodead de spoilers y teor as acerca de GameOfThrones Vuelve a vivir la 5 temporada de GOT en CinemaxLA Horar,0,neutral
What does chemistry mean Me Caryl braime twd Got,-1,negative
Awesome company with great potential I believe in her success and advise you Continue to follow the news As the,4,negative
RT T rodead de spoilers y teor as acerca de GameOfThrones Vuelve a vivir la 5 temporada de GOT en CinemaxLA Horar,0,neutral
You can not even imagine what prospects the project has You need to join and not lose such a possibility Team and,1,Positive
RT pksp Got Another Sale for our King Shirt Thank you Canada King BlackHeartTees,0,neutral
Canada StudyAbroad,0,neutral
RT If you are in college or low tier job please retweet and dm e so I can give 500 daily to help Many thanks sugarba,0,neutral
RT Arnprior Ontario Only 15 tickets remain and then we are sold out Tickets for all other shows are selling FAST Cana,0,neutral
RT Also trending moser Czech Bohemian glass Christmas2018 vintage vintageclique Londonislovin,1,Positive
RT I am giving thanks today for Canada with love and respect from your shitty downstairs neighbors CanadianThanksgiving,2,Positive
It s happening in America with the Dems and it s happening in Canada with the Liberals Many people consider a,0,neutral
Punto de patentes del USMCA encarecer a medicinas en Canad,0,neutral
TuesdayMotivation TuesdayThoughts Yesssssss I wanted to put emphasis on the funny bone as I amwriting humor,1,Positive
RT Halifax listed in the top 10 cities in Canada to launch a tech startup via,1,Positive
Arnprior Ontario Only 15 tickets remain and then we are sold out Tickets for all other shows are selling FAST,0,neutral
RT EdibleMarijuana products are still illegal in Canada reports Karen Graham,-1,negative
RT A HUGE difference in temperatures today across Canada today Prairies Sask Skstorm YQR,0,neutral
RT Awareness CANADA S SHAME AnimalRights BanTheSealHunt Canada,-1,negative
RT Awareness CANADA S SHAME AnimalRights BanTheSealHunt Canada,-1,negative
RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin,1,Positive
RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin,1,Positive
RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin,1,Positive
RT Gm sir amp srkians SRK ShahRukhKhan Bollywood,0,neutral
RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin,1,Positive
RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin,1,Positive
RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin,1,Positive
RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin,1,Positive
RT Clean shaven look is back King Khan clicked at Mumbai Airport SRK ShahRukhKhan,1,Positive
HockeyWorldCup OpeningCeremony SRK,0,neutral
RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin,1,Positive
Gm sir amp srkians SRK ShahRukhKhan Bollywood,0,neutral
RT krishna SRK king khan supporting the Hockey Men s World Cup Bhubaneswar 2018 Odisha2018,0,neutral
RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin,1,Positive
RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin,1,Positive
RT Halifax councillor asks staff to look at banning new drive thrus reports hfxpoli,1,Positive
Halifax councillor asks staff to look at banning new drive thrus reports,1,Positive
Meanwhile in halifax,0,neutral
RT via During the 1990s a previous incarnation govt eagerly hopped into bed w private partne,1,Positive
RT Rent I m looking for community stories from Halifax Dartmouth Bedford LowerSackville DM me with news events interest,1,Positive
RT Today a Halifax NS reporter tweeted a photo of a crime and tweeted Not impressed by the asshole s who did this,-1,negative
RT Can you believe it s been 20 years already To celebrate people who open a MACPASS account this month will be entered to,2,negative
RT Special weather statement in place for Halifax,1,Positive
Updated report on possible CFL team in Halifax tenatively set for council meeting on Oct 30 halifax ns,0,neutral
Frames starting at 20 Now that s tough to beat Style Choice Come meet our friendly staff at 103 Chain Lake,1,Positive
RT Can you believe it s been 20 years already To celebrate people who open a MACPASS account this month will be entered to,2,Positive
Can you believe it s been 20 years already To celebrate people who open a MACPASS account this month will be en,2,Positive
the last time he tossed in name on a ballot was for hammondsplains MLA and he lost badly and th,-2,Positive
You d think government would have less to do when something becomes legal but no all the levels of g,-1,negative
Total housing starts in Halifax trended higher in September impacted by continued strength in apartment construct,0,neutral
RT DalProud of our DalMACS alumni Congratulations everyone was proud to have you as our students May the,2,neutral
RT DalProud of our DalMACS alumni Congratulations everyone was proud to have you as our students May the,2,neutral
DalProud of our DalMACS alumni Congratulations everyone was proud to have you as our students May,2,neutral
RT Watersports La I Traves a Mar Menor se celebrar estos pr ximos 12 13 y 14 de Octubre en la playa de Las Salinas Murcia,-1,negative
Please DM me your 1 kite retailer in Nigeria for your kites from the store of in preparatio,0,neutral
RT zaveri Are you ready with your kites to fly this festive season Here s a look at how people are celebrating MakarSankranti,2,neutral
order beautiful kites at kite patang kitefestival kiteflying patangbazi,1,Positive
La I Traves a Mar Menor se celebrar estos pr ximos 12 13 y 14 de Octubre en la playa de Las Salinas Murcia,-1,negative
RT Great event lbinj kitefestival going on thru Monday This was one of our favs,1,Positive
RT zaveri Are you ready with your kites to fly this festive season Here s a look at how people are celebrating MakarSankranti,2,Positive
Great event lbinj kitefestival going on thru Monday This was one of our favs,1,Positive
4th Annual LBI FLY International Kite Festival happening now lbikitefestival lbifly lbi longbeachisland,0,neutral
we are kite makers based at India Especially paper kites You can order online We ship,1,Positive
RT Mylar paper kite order your kites online at we ship all over the world kite patang fighterkit,0,neutral
RT Kiters From Around The World Head to Long Beach Island This Weekend lbi longbeachisland,0,neutral
Kiters From Around The World Head to Long Beach Island This Weekend lbi,0,neutral
Mylar paper kite order your kites online at we ship all over the world kite patang,0,neutral
KiteBeach KiteFestivalDubai KiteFestival KiteFest Kites Kite Flying FlyingHigh FlyingHighInTheSky Dubai,0,neutral
Sewed a patch today HIM FOREVER heartagram band music heart love lovemetal art artist,2,neutral
RT As part of our continued efforts to promote mainstream blockchain adoption Musards introduces the Artist Outreach Camp,0,neutral
RT movie BUMP OF CHICKEN MV Music BUMP official ch,0,neutral
Bryant Myers Tanta Falta music genre song songs melody hiphop rnb pop love,1,Positive
Incase you don t know a project I began here is the first posting what it s about If you love music it s MUST,1,Positive
Hypnophone Biosphere shuffle music,0,neutral
This bazzi cosmic music love beautiful awesome ilovemusic musicislife,3,neutral
Posted a new song FEMALE ESCOBAR music,0,neutral
aqui que eu me sinto muito bem drummer music drums band church,0,neutral
Here Are All the Winners From the 2018 AMAs So Far music bilboard,1,Positive
Already There ARY On Web radio music,0,neutral
Listen to Don t Give A Fuck by Kvlt ov Romance on SoundCloud music footwork juke electronic lofi,0,neutral
RT Divider Obama vs the Nation Attacked Cops Christians and Clingers American Thinker waro,0,neutral
RT When this rotten cantaloupe that was the Obama cartel is finally ripped open it will be CatherineHerridge who deserv,1,Positive
RT In 100 years history will treat Obama harshly Portraying him as a smooth charismatic Neoliberal instrument succes,4,Positive
Let s make a deal Democrats we will spend as much money as Obama gave Iran for the border wall Secureborders MAGA,2,Positive
RT How does it feel as a mother to know the hate your party your boss and you created with your lies have now,-1,negative
MAGA Kavanaugh KavanaughConfirmation HimToo Democrats Obama WalkAway,0,neutral
RT Obama s Benghazi Body Bags No Mere Conspiracy Theory American Thinker obama obamagate B,-2,neutral
RT Incredible how spewing disunity she sure doesn t get it We are United States of America We had enough,1,Positive
How Obama helped Iran develop nuclear weapons Another headline for you EnemyofthePeople Traitors FakeNews,0,neutral
RT Obama s National Monuments are a Big Deal And many of these are being targeted by the Trump administration for a size,1,Positive
RT Esta con el EstadoProfundo Soros Obama Bush Clinton Esta Usando a EEUU El Jueg,0,neutral
RT racism WOW HillaryClinton amp Obama CENSORED FreeSpeech by ASKING YouTube to BLOCK Muslim video they BLAMED for Benghazi,-1,negative
RT Times CM may be discharged from AIIMS in first week of November Goanews NavhindTimes Goa,0,neutral
RT Times Draft CZMP riddled with errors Goanews NavhindTimes Goa,0,neutral
RT India Mumbai Bangalore Delhi Ahmedabad Lucknow Bihar Assam Meghalaya Nagaland manipur mizoram Tripura ar,0,neutral
We are live over at right now Come drop by and see what we are up to tonight and hang out,2,neutral
RT Lifting of stockpiled ironore dumps needs to be done mining Goa GoaMining gadkari,0,neutral
RT Hon ble Rajya Sabha MP from Goa Shri Vinay Tendulkar Promising to stand with mining dependents before lord Ganesh We hope,2,neutral
RT highlighting the hardships faced by GoaMining dependents due to the ban imposed on mining activities in Go,-1,negative
Lenovo Ideapad 310 80SM01EUIH Laptop on Sale at GoaComputers in Online Lenovo Store Goa,0,neutral
RT Robotica robotics robotic robot Robots business Entrepreneur DigitalTransformation Io,0,neutral
Rocky Mountain High Radio RMH 80 this Sunday in layout and soon to master Stay tuned trance edm,0,neutral
Check out this Amazon deal TCL 49S405 49 Inch 4K Ultra HD Roku Smart LED by TCL,3,neutral
TCL Smart LED TV TCL 49S405 49 Inch 4K Ultra HD 2017 Model ledtv electronics,2,neutral
melaniecute90 Travel India travel destinations Colorful Postcards From Pushkar Goa,1,Positive
Travel India travel destinations Colorful Postcards From Pushkar Goa India,1,Positive
breaking The NRA in offering up bump stocks as a sacrificial lamb to the anti gun nuts can not be trusted to supp,0,neutral
I only respond to Princess now disneyland,0,neutral
Happiest celebration pt 1 pt1 disneyland tokyodisneyland,1,Positive
The way you did once upon a dream Had the best time at Disneyland and in California with my BFF,1,Positive
I see no end to Traveling Paris France and Disneyland on the side The Swiss Family Robinson tree house,0,neutral
I see no end to Traveling Paris France and Disneyland on the side Four days was not a long time,0,neutral
RT Slinky Dog Costume at Night Disneyland Halloween toystory,0,neutral
RT Awesome JackSkellington cosplay by sfx her out amp show some NightmareBeforeChristmas thisishalloween C,1,Positive
RT La verdadera Neytiri Pandora WaltDisneyWorld Avatar Disneyland Travel Animal Kingdom,0,neutral
RT place Animated display from the newly remodeled World of Disney store at Downtown Disney in the Disneyland Resort in Anaheim,1,Positive
RT La verdadera Neytiri Pandora WaltDisneyWorld Avatar Disneyland Travel v a Instagram 09 10 18 https,0,neutral
La verdadera Neytiri Pandora WaltDisneyWorld Avatar Disneyland Travel v a Instagram 09 10,0,neutral
Disneyland,0,neutral
RT Salt amp Straw nears Disneyland,0,neutral
RT I made a Blitz emote for Halloween RainbowSixSiege,0,neutral
RT I made a Blitz emote for Halloween RainbowSixSiege,0,neutral
Ummmm This is giving me SERIOUS Halloween inspiration,0,neutral
Day 9 31 Patchwork Doll Inspo Follow my Instagram esthers31daysofhalloween,0,neutral
RT Este p ster ha sido dise ado por Matty Ryan Tobin para un evento especial que celebrar los 40 a os de Halloween Desde,0,neutral
Halloween movies all October,0,neutral
Esto de ponerle estoperoles a la ropa es sumamente tardado cansado y detallado Halloween,0,neutral
RT Halloween,0,neutral
Terror the Ninth 2sentenceterrors 2sentencehorrorstories 2ST thespookidarian amwriting halloween horror,-2,neutral
RT Excited to share the latest addition to my etsy shop Hocus Pocus freeshipping HocusPocus hall,1,Positive
Biscoitos decorados tem ticos de Halloween Sim temos lindos e saborosos J dispon veis na loja,0,neutral
Should I dress my cat up for Halloween poll cats,0,neutral
It s not Halloween yet but according to our reviewer the new movie delivers on the hype,0,neutral
RT Protect your little spook from boo boo s with these tips for choosing a safe Halloween costume,0,neutral
RT Gaming Livestream horror DBD DeadbyDaylight we hunt down every last survivor killermain HorrorMovies leathe,-1,negative
RT THE NEW MONTAGEEEEEEEEEEEEE IS SEXYYYYYYYYYYYYYYYYYYYYYYYYYYY OMGGG FREAKING PARALLEL OF ADIYA AND YJHD PALAKH I,0,neutral
RT THE NEW MONTAGEEEEEEEEEEEEE IS SEXYYYYYYYYYYYYYYYYYYYYYYYYYYY OMGGG FREAKING PARALLEL OF ADIYA AND YJHD PALAKH I,0,neutral
RT Preciousgirl 10 YEARS OF RANBIR KAPOOR This Friendship YJHD https,1,Positive
RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so,1,Positive
YJHD poster vibes,0,neutral
RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so,1,Positive
RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so,1,Positive
RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so,1,Positive
RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so,1,Positive
RT AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films are so,1,Positive
RT RanbirKapoor DeepikaPadukone Sanju Yjhd BunnyNaina Tamasha VedTara,0,neutral
AyanMukerji is one of the if not THE youngest director in bollywood working right now No wonder why his films a,1,Positive
RT Reshma Classy This New Montage reminds me of YJHD Beautiful Couples I have ever seen AdiYa,1,Positive
YJHD Bepannaah,0,neutral
RT THE NEW MONTAGEEEEEEEEEEEEE IS SEXYYYYYYYYYYYYYYYYYYYYYYYYYYY OMGGG FREAKING PARALLEL OF ADIYA AND YJHD PALAKH I,0,neutral
RT Face your fears head on today FaceYourFearsDay ZNMD,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD https,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD https,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD https,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD https,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD https,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD https,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD https,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD https,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD https,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD,-1,negative
RT Face your fears head on today FaceYourFearsDay ZNMD https,-1,negative
Lady heroes break the patriarchy support local businesses interabangbooks where s,1,Positive
Why should any kind of violence against women be criminalized through legislation Please,0,neutral
This isn t about women It s a political agenda They are not fooling anyone Why ar,0,neutral
RT Hamburg Vor genau einem Monat haben wir die Brosch re zum Geschlechterverh ltnis und der Notwendigkeit feministischer K mpfe rausg,0,neutral
RT CuriosityCore themToo Feminism showUsYourPeanuts hashtag Pixel3 madebygoogle ToxicTrump homework school zero portal2 val,0,neutral
AMAs TaylorSwiftAMAs MAGA Feminism TuesdayThoughts wednesdaythoughts madebygoogle,0,neutral
I wrote an article about krav maga and my changing relationship with my female body Have a read if you re interest,1,Positive
Why is the empowerment of women one of the most efficient tools for developing a society,2,Positive
succinct point on Feminism this afternoon I would add too many have to show martyrdom and retrea,-1,negative
Period Sex Aversion Yes It s Personal On Intimate Justice and Period Sex Averse Partners,0,neutral
When your woman friend suggests you watch Practical Magic read between the lines sisterhood witches feminism,3,neutral
RT new ANEWS podcast up episode 84 for October 5 2k18 editorial toxic culture totw feminism the news h,-1,negative
epiconetsy feminism hero jewelry fashion handmade bracelets leather shopping giftideas girlpower,1,Positive
Interesting review of books on the discontents of male identity by Arlie Russell Hochschild long read,1,Positive
doesn t that go against the teachings of feminism clambake feminism,-1,negative
RT And ThatsWhySheLost was CORRECT Again HillaryClinton is now officially advocating violence aga,1,Positive
Hey Libs Is there anyone of you that can articulate your positive platform for our country If you disagree wit,2,Positive
RT The biggest bloodiest myth is that revolutions require violence to succeed We can bring militarism to its knees by,-1,negative
RT Shipping this month The Behavioral Science of Firearms A MentalHealth Perspective on Guns Suicide and Violence,-1,negative
The biggest bloodiest myth is that revolutions require violence to succeed We can bring militarism to its kne,-1,negative
RT Gang Violence USA Report A mural of Lesandro Junior Guzman Feliz near the Bronx bodega where Trinitarios members,0,neutral
RT And ThatsWhySheLost was CORRECT Again HillaryClinton is now officially advocating violence aga,1,Positive
Religion should not be used to sow divisions The abuse of religion continues and is undermining hopes for peace,1,Positive
STOP SEXUAL VIOLENCE SGSX18,0,neutral
WALSH Democrats Who Won t Condemn LeftWing Violence Don t Have The Temperament For Office,0,neutral
RT And ThatsWhySheLost was CORRECT Again HillaryClinton is now officially advocating violence aga,1,Positive
RT I spent my whole life chasing after men amp others who did not want me They proved it with abuse amp sometimes even Vio,0,neutral
RT nx New single Hood I m From OUTNOW newmusic hood columbia neighborhood trap juggseason represent lyrics rapper,0,neutral
